"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61"
"1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 6 4 2 0 0 0 0 0 0 0 0 6 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 2 0 0 0 0 0 0 0 0 8 6 4 6 4 2
"4" 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 6 4 2 4 2 0
"5" 0 0 0 4 2 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 4 2 0 0 4 2 0 2 0 0
"6" 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0
"7" 0 0 0 0 0 0 0 8 6 4 2 0 0 0 0 0 0 0 6 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 2 0 0 0 0 0 0 0 0 6 8 6 6 4 2
"8" 0 0 0 0 0 10 8 6 4 2 14 12 10 8 6 4 2 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 10 8 6 4 2 4 6 4 4 16 14
"9" 0 0 0 0 0 8 6 4 2 8 12 10 8 6 4 10 8 6 4 2 0 0 0 0 4 2 0 0 0 0 0 0 0 4 2 4 2 0 0 0 0 0 0 0 2 0 6 4 2 0 8 6 4 2 0 2 4 2 2 14 12
"10" 0 0 0 0 0 6 4 2 0 6 10 8 6 4 2 8 6 4 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 4 2 0 0 6 4 2 0 0 0 2 0 0 12 10
"11" 0 0 0 4 2 4 2 0 0 4 8 6 4 2 0 6 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4 10 8 6 4 2 0 0 0 10 8
"12" 0 0 0 2 0 2 6 4 2 2 6 4 2 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 8 6 4 2 0 0 0 0 8 6
"13" 0 0 0 0 0 0 4 2 0 0 4 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 2 0 0 0 0 0 6 4
"14" 0 0 5 3 1 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 5 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 4 2 0 0 0 0 5 3 4 2
"15" 0 0 3 1 0 0 0 0 0 4 2 0 0 0 0 4 4 2 0 0 0 0 0 3 9 7 5 3 1 0 0 0 0 4 2 4 2 0 0 0 0 0 0 0 0 0 4 2 0 3 1 2 0 0 0 0 0 3 1 2 0
"16" 0 0 1 0 0 0 0 0 0 2 0 0 0 0 2 2 2 0 0 0 0 0 0 1 7 5 3 1 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 2 2 0 0 1 0 0 0 0 2 0 0 1 0 0 0
"17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 1 6 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"18" 0 0 0 0 0 0 0 6 4 2 0 0 0 0 0 0 0 0 6 4 2 0 0 0 3 1 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 2 0 0 0 0 0 0 0 0 6 6 4 6 4 2
"19" 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 4 4 2 4 2 0
"20" 0 0 0 0 5 3 1 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 7 5 3 1 0 0 0 0 0 5 3 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 2 0 2 0 0
"21" 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 3 1 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" 0 5 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 1 0 0 0 1 3 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 5 3 1 0 0 0 0 0 0 0 0 0 0 0
"23" 0 3 10 8 6 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 8 6 4 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 8 6 4 2 0 0 0 0 5 3 1 0
"24" 0 1 8 6 4 2 0 0 0 0 0 4 2 0 0 0 0 4 2 0 0 1 7 6 4 2 0 0 0 0 0 0 4 2 4 2 4 2 4 2 0 0 0 0 0 0 0 1 7 6 4 2 0 0 0 0 0 3 1 0 0
"25" 0 5 6 4 2 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 5 5 4 2 0 0 0 0 0 0 0 2 0 2 0 2 0 2 0 0 0 0 0 0 0 0 5 5 4 2 0 0 0 0 0 0 1 0 0 0
"26" 0 3 4 2 0 0 0 6 4 2 0 0 0 0 0 0 0 0 8 6 4 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 2 3 3 2 0 0 0 0 0 6 6 4 7 5 3
"27" 0 1 2 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 6 4 2 1 1 0 0 0 0 0 0 0 0 6 4 2 0 0 0 0 0 0 0 0 0 6 4 2 0 1 1 0 0 0 0 6 4 4 4 2 5 3 1
"28" 0 0 0 6 4 2 0 2 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 4 2 4 2 2 2 0 3 1 0
"29" 0 0 0 4 2 0 0 6 4 2 0 0 0 0 0 0 0 0 6 4 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 10 8 6 4 2 0 0 2 0 2 0 8 8 6 6 4 2
