"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61"
"1" 0 -10 -12 -14 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -82 -84 -86 -88 -90 -92 -94 -96 -98 -100 -102 -104 -106 -108 -110 -112 -114 -116 -118 -120 -122 -124 -126 -128
"2" -10 -10 -12 -14 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -82 -84 -86 -88 -90 -92 -94 -96 -98 -100 -102 -104 -106 -108 -110 -112 -114 -116 -118 -120 -122 -124
"3" -12 -12 -14 -16 -18 -20 -22 -14 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -82 -84 -86 -88 -90 -92 -94 -96 -98 -100 -102 -104 -106 -108 -110 -112 -114 -116
"4" -14 -14 -16 -18 -20 -22 -24 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -36 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -82 -84 -86 -88 -90 -92 -94 -96 -98 -100 -102 -104 -106 -108 -110 -112 -114 -116 -118
"5" -16 -16 -18 -12 -14 -16 -18 -18 -20 -22 -24 -26 -28 -30 -32 -34 -36 -38 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -82 -84 -86 -88 -90 -92 -94 -96 -98 -100 -94 -96 -98 -100 -102 -104 -106 -108 -110 -112
"6" -18 -18 -20 -14 -16 -18 -14 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -82 -84 -80 -82 -84 -86 -88 -90 -92 -94 -96 -96 -98 -100 -102 -104 -106 -108 -110 -112 -114
"7" -20 -20 -22 -16 -18 -20 -16 -8 -10 -12 -14 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -76 -78 -80 -82 -84 -86 -88 -90 -92 -94 -96 -96 -98 -100 -102 -104 -106
"8" -22 -22 -24 -18 -20 -8 -10 -10 -12 -14 -2 -4 -6 -8 -10 -12 -14 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -76 -78 -80 -82 -84 -86 -88 -90 -92 -92 -94
"9" -24 -24 -26 -20 -22 -10 -12 -12 -14 -8 -4 -6 -8 -10 -12 -6 -8 -10 -12 -14 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -82 -84 -86 -88 -90 -92 -94 -96
"10" -26 -26 -28 -22 -24 -12 -14 -14 -16 -10 -6 -8 -10 -12 -14 -8 -10 -12 -14 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -82 -84 -86 -88 -90 -92 -94 -96 -98
"11" -28 -28 -30 -24 -26 -14 -16 -16 -18 -12 -8 -10 -12 -14 -16 -10 -12 -14 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -74 -76 -78 -80 -82 -84 -86 -88 -90 -92
"12" -30 -30 -32 -26 -28 -16 -12 -14 -16 -14 -10 -12 -14 -16 -18 -12 -14 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -60 -62 -64 -66 -68 -70 -72 -74 -76 -76 -78 -80 -82 -84 -86 -88 -90 -92 -94
"13" -32 -32 -34 -28 -30 -18 -14 -16 -18 -16 -12 -14 -16 -18 -20 -14 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -62 -64 -66 -68 -70 -72 -74 -76 -78 -78 -80 -82 -84 -86 -88 -90 -92 -94 -96
"14" -34 -34 -27 -29 -31 -20 -16 -18 -20 -18 -14 -16 -18 -20 -22 -16 -18 -20 -22 -24 -26 -28 -30 -23 -25 -27 -29 -31 -33 -35 -37 -39 -41 -43 -45 -47 -49 -51 -53 -55 -57 -59 -61 -63 -65 -67 -69 -71 -73 -69 -71 -73 -75 -77 -79 -81 -83 -83 -85 -87 -89
"15" -36 -36 -29 -31 -33 -22 -18 -20 -22 -16 -16 -18 -20 -22 -24 -18 -12 -14 -16 -18 -20 -22 -24 -25 -19 -21 -23 -25 -27 -29 -31 -33 -35 -37 -39 -41 -43 -45 -47 -49 -51 -53 -55 -57 -59 -61 -63 -65 -67 -69 -71 -73 -75 -77 -79 -81 -83 -85 -87 -89 -91
"16" -38 -38 -31 -33 -35 -24 -20 -22 -24 -18 -18 -20 -22 -24 -20 -20 -14 -16 -18 -20 -22 -24 -26 -27 -21 -23 -25 -27 -29 -31 -33 -35 -37 -39 -41 -43 -45 -47 -49 -51 -53 -55 -57 -59 -61 -57 -59 -61 -63 -65 -67 -69 -71 -73 -75 -77 -79 -81 -83 -85 -87
"17" -40 -40 -33 -35 -37 -26 -22 -24 -26 -20 -20 -22 -24 -26 -22 -22 -16 -18 -20 -22 -24 -26 -28 -29 -23 -25 -27 -22 -24 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -82 -84 -86 -88
"18" -42 -42 -35 -37 -39 -28 -24 -16 -18 -20 -22 -24 -26 -28 -24 -24 -18 -20 -12 -14 -16 -18 -20 -22 -24 -26 -28 -24 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -48 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80
"19" -44 -44 -37 -39 -41 -30 -26 -18 -20 -22 -24 -26 -28 -30 -26 -26 -20 -22 -14 -16 -18 -20 -22 -24 -26 -28 -30 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -82
"20" -46 -46 -39 -41 -34 -32 -28 -20 -22 -24 -26 -28 -30 -32 -28 -28 -22 -24 -16 -18 -20 -22 -24 -26 -28 -30 -32 -28 -21 -23 -25 -27 -29 -31 -33 -35 -37 -39 -41 -43 -45 -47 -49 -51 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -82 -84
"21" -48 -48 -41 -43 -36 -34 -30 -22 -24 -26 -28 -30 -32 -34 -30 -30 -24 -26 -18 -20 -22 -24 -26 -28 -30 -32 -34 -29 -23 -25 -27 -29 -31 -33 -35 -37 -39 -41 -43 -45 -47 -49 -51 -53 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74 -76 -78 -80 -82 -84 -86
"22" -50 -43 -43 -45 -38 -36 -32 -24 -26 -28 -30 -32 -34 -36 -32 -32 -26 -28 -20 -22 -24 -17 -19 -21 -23 -25 -27 -29 -25 -27 -29 -31 -33 -35 -37 -39 -41 -43 -45 -47 -49 -51 -53 -55 -56 -58 -60 -53 -55 -57 -59 -61 -63 -65 -67 -69 -71 -73 -75 -77 -79
